,Unnamed: 0,graph_1,graph_2,miniLM,sbert,tsdae,sbert_100,sbert_1000,sbert_10000,bin_sbert
81,33823,kakaobrain_helo_word,lovepiano_SMFN_For_360VSR,0.3404,0.6397,0.5074,1.0917360618103873,1.706637582945736,2.667871788253456,2.0
136,587755,qiulingxu_FeatureSpaceAttack,z-x-yang_CFBI,0.3277,0.7045,0.5811,0.7057276982823129,1.0017426519266326,1.4219200169292157,3.0
288,261837,locuslab_projected_sinkhorn,willieneis_bayesian-algorithm-execution,0.5447,0.7073,0.5701,0.692222394963746,0.9786828714318478,1.3836884934707308,3.0
358,1282854,awslabs_unsupervised-qa,jonrusert_suumcuique,0.4034,0.5365,0.5039,2.163373690444292,4.032383393186006,7.5160920655843535,2.0
405,738473,xjgaocs_Grid-Keypoint-Learning,steven-lang_dafne,0.5861,0.632,0.5757,1.148819011464708,1.817751600418842,2.876189241169054,2.0
442,114683,sz128_few_shot_slot_tagging_and_NER,advaitkumar3107_rsinet,0.5499,0.7414,0.582,0.5443499420374677,0.734218966870067,0.9903142256137945,3.0
520,1967410,Pealing_DFFT,albanie_collaborative-experts,0.575,0.824,0.618,0.2851128008540294,0.3460106806480939,0.4199158745729295,3.0
540,1642537,zjunlp_MKGformer,RaoUmer_SRResCGAN,0.6393,0.7237,0.5584,0.6174386024340645,0.8531692723974914,1.1788990913327229,3.0
569,612682,ailon-island_facke,naver_fire,0.3213,0.6833,0.5916,0.8156397141903772,1.193677322099191,1.7469300777099237,2.0
752,1178323,kkoutini_passt,freelunchtheorem_Conditional_Density_Estimation,0.3519,0.5984,0.5263,1.4340152514600804,2.396415861397193,4.004705650730602,2.0
812,200989,yasumasaonoe_DenoiseET,willieneis_bayesian-algorithm-execution,0.5237,0.7319,0.5688,0.5826478100791922,0.7960757071720074,1.0876837097581735,3.0
965,1781712,hytseng0509_DropGrad,staretgicclfdark_strategic_rep,0.4036,0.6168,0.5338,1.2701283031374675,2.059222281351277,3.3385575248885817,2.0
1032,1199626,cods-gcs_kgpip-public,pku-liang_HASCO,0.4329,0.7041,0.5384,0.707675377080649,1.0050779393277218,1.4274647625731032,3.0
1115,607972,megvii-research_crestereo,jasonwei20_eda_nlp,0.4141,0.6312,0.6238,1.1549121170472378,1.8297086771977784,2.898778005699903,2.0
1132,1479125,fh2019ustc_doctr,r-three_t-few,0.3627,0.726,0.5504,0.6075125108283076,0.8367940920500105,1.1526089422176455,3.0
1168,10768,princeton-nlp_semsup,Caiyq2019_Deep-generative-LDA,0.3349,0.5742,0.5518,1.682644892866174,2.930416044699014,5.103476218563244,2.0
